customer_id,customer_key,first_name,last_name,marital_status,gender,create_date,birthdate,country
29483.0,AW00029483,Marc,Navarro,Married,n/a,2026-01-27,1965-06-06,France
29466.0,AW00029466,Lance,Jimenez,Married,Male,2026-01-27,1949-05-25,Germany
29433.0,AW00029433,Thomas,King,Married,Male,2026-01-27,1986-02-10,United Kingdom
29473.0,AW00029473,Carmen,Subram,Single,n/a,2026-01-26,1965-11-19,United Kingdom
29449.0,AW00029449,Laura,Chen,Single,Female,2026-01-26,1946-12-04,Germany
28241.0,AW00028241,Charles,King,Married,Male,2026-01-25,1969-12-01,United States
28243.0,AW00028243,Marcus,Cook,Single,Male,2026-01-25,1981-04-12,United States
28242.0,AW00028242,Madison,Butler,Married,Female,2026-01-25,1969-12-31,United States
28239.0,AW00028239,Richard,Ramirez,Single,Male,2026-01-25,1975-04-20,Canada
28240.0,AW00028240,Eduardo,Clark,Married,Male,2026-01-25,1970-01-11,United States
28245.0,AW00028245,Gavin,Henderson,Single,Male,2026-01-25,1961-07-04,Canada
28238.0,AW00028238,Dalton,Flores,Single,Male,2026-01-25,1971-01-04,United States
28237.0,AW00028237,Hailey,Foster,Married,Female,2026-01-25,1970-12-10,United States
28236.0,AW00028236,Isabel,Diaz,Single,Female,2026-01-25,1976-07-09,United States
28235.0,AW00028235,Cole,Rogers,Single,Male,2026-01-25,1970-08-11,United States
28244.0,AW00028244,Samantha,Davis,Married,Female,2026-01-25,1975-05-14,United States
28247.0,AW00028247,Jonathan,Adams,Single,Male,2026-01-25,1962-03-22,United States
28246.0,AW00028246,Alexa,Gray,Single,Female,2026-01-25,1967-10-08,United States
28233.0,AW00028233,Patrick,Richardson,Single,Male,2026-01-25,1976-02-19,United States
28248.0,AW00028248,Eric,Scott,Single,Male,2026-01-25,1968-11-12,Canada
28249.0,AW00028249,Julia,Carter,Married,Female,2026-01-25,1968-08-29,United States
28250.0,AW00028250,Tyrone,Dominguez,Married,Male,2026-01-25,1974-05-14,United States
28251.0,AW00028251,Joe,Rubio,Married,Male,2026-01-25,1968-07-17,United States
28252.0,AW00028252,Sydney,Murphy,Married,Female,2026-01-25,1969-05-12,United States
28253.0,AW00028253,Jeremiah,Green,Single,Male,2026-01-25,1974-05-07,United States
28254.0,AW00028254,Jacqueline,Brooks,Single,Female,2026-01-25,1973-08-11,Canada
28255.0,AW00028255,Robert,Clark,Single,Male,2026-01-25,1973-07-18,United States
28256.0,AW00028256,Colin,Beck,Married,Male,2026-01-25,1968-04-16,United States
28257.0,AW00028257,Zachary,Martin,Single,Male,2026-01-25,1973-04-14,United States
28258.0,AW00028258,Destiny,Bryant,Single,Female,2026-01-25,1968-03-08,United States
28259.0,AW00028259,Samuel,Mitchell,Married,Male,2026-01-25,1973-11-29,United States
28234.0,AW00028234,Jack,Nelson,Married,Male,2026-01-25,1970-08-13,United States
28231.0,AW00028231,James,Powell,Single,Male,2026-01-25,1978-08-12,United States
28232.0,AW00028232,Gavin,Russell,Single,Male,2026-01-25,1976-02-20,United States
28217.0,AW00028217,Kristy,Carlson,Single,Female,2026-01-25,1980-10-10,Australia
28205.0,AW00028205,Carolyn,Mehta,Married,Female,2026-01-25,1973-08-31,Australia
28206.0,AW00028206,Angelica,Long,Single,Female,2026-01-25,1976-01-19,Australia
28207.0,AW00028207,Larry,Moreno,Married,Male,2026-01-25,1975-11-08,Australia
